Title	Identifier	Platforms	Website	Development Studio	Studio Location	Publisher	Sponsor	Early Access Date	Release Date	Languages	Media Format	Genres	Awards	Store	Presskit	Articles	Twitter	Development Log	Source	Online Play	Download Page	Direct Download	Trailer Video Link	Logo Direct Link	Screenshot Direct Link	Box Art Direct Link	Description	Credits	Remarks	State (released, unreleased, canceled)	Data Quality
Pamehta	pamehta	Amiga	https://www.freimann.eu/eliphi/phi/pamehta/	«Handmade game Production»	Kappel am Albis	philippe gressly (freimann)			1989	German	Disc	Adventure				https://www.gameculture.ch/2011/01/zuri-revisited-oder-schweizer-game-design-im-20-jh/				https://agijs.ra-phi.ch/pamehta					https://www.freimann.eu/eliphi/phi/pamehta/img/titel.pin.gif		Pamehta, war mein erstes größeres Computerspiel. Dafür hatte ich 3 Monate meiner Semesterferien geopfert, was mich dann auch im Mathestudium etwas ins Hintertreffen brachte ;-( ... das habe ich dann im Informatikstudium wieder wettgemacht. Dabei habe ich viel über die Spielprogrammierung, aber auch über Ägypten gelernt. (Philipp Gressly)	Philipp Gressly		Released	6162
The Champ	thechamp	Amiga, C64, ZX Spectrum		Linel	Appenzell				1989	English		Arcade, Sport							https://www.mobygames.com/game/champ				https://www.youtube.com/watch?v=_-WHokUQnuQ		https://www.mobygames.com/images/shots/l/201449-the-champ-commodore-64-screenshot-on-the-edge-now.png		Take your boxer to the top in this action boxing game. You start off fighting in an alleyway before finding a manager, who will guide you to the training arena. Here you must work on the punch bag, sparring and skipping rope. Eventually you will move up from small fights to the title contests. The 11 moves include high and low punches, as well as defensive moves and escapes. Full knockout rules apply, and the fighters automatically break up grappling situations.			Released	6131
Ringside	ringside	Amiga		Golden Gate Crew		EAS Software			1989	English		Sport							https://www.mobygames.com/game/amiga/ringside				https://www.youtube.com/watch?v=AvSyiyXG12c		https://www.mobygames.com/images/shots/l/946360-ringside-amiga-screenshot-title-screen.png		Ringside is a boxing game viewed from the side, as in traditional 2D fighting games. The player follows the career of a boxer, who starts at the bottom rank and must work his way to the top. The boxer has a number of attributes that affect the power of his left and right upper and lower punches, as well as the effectiveness of his defence. The player starts with a fixed set of a hundred points to be distributed freely across these attributes. When a higher-ranking boxer is defeated, additional points are awarded so that the player can gradually increase the boxer's stats. The number of rounds (3 to 15) and their duration can be customized. During a match, the player can choose a specific type of punch by moving in one direction while holding the fire button. Defensive positions can be assumed while the fire button is not held, although the boxer will automatically guard when the player holds still. A minigame between rounds allows the player to restore a certain amount of the boxer's energy. The game supports a 2-player versus mode in single matches, as well as a training mode with a sparring partner. A load/save option for the player's stats is available.	Code: Heinz Luem, Graphics: Orlando Petermann		Released	6141
Antares	antares	Amiga, PC, Mac, Linux	https://www.kmd-design.ch/antares/index.html	Nightmare Productions					1990	German											https://www.myabandonware.com/game/antares-6q4				http://www.mobygames.com/images/shots/l/601607-antares-amiga-screenshot-the-start-of-the-game-on-kyrion.png		ANTARES ist die Geschichte einer interstellaren Expedition der Menschheit auf der Suche nach neuem Lebensraum. Tragischerweise endet der hoffnungsvolle Versuch mit einer mysteriösen Bruchlandung auf Kyrion, dem 5. Planeten des Antares-Systems. 5 Individuen überleben, darunter zwei Menschen, eine Androidin, ein Kampfroboter und ein körperloser Geist. Diese illustre Gesellschaft bildet nun Dein Team, das Du in ANTARES durch Wüsten, Städte und düstere Dungeons führst, auf der Suche nach Überlebenden, nach der Wahrheit und nach dem Sinn des Überlebens der menschlichen Art...		There is a free download link on the site, but it's broken, which is why the download points at an abandonware site instead.	released	7120
The Neverending Story II: The Arcade Game	theneverendingstoryiithearcadegame	C64, DOS, ZX Spectrum		Linel	Appenzell				1990	English		Adventure							https://www.mobygames.com/game/amiga/neverending-story-ii-the-arcade-game				https://www.youtube.com/watch?v=K1iXCq3ixLc		https://www.mobygames.com/images/shots/l/957962-the-neverending-story-ii-the-arcade-game-amiga-screenshot.png		The Neverending Story II is a platform game which is largely based on the movie. The concept is simple: you're Bastian, and are called forth once again by the Childlike Empress to save Fantasia, the Land of Dreams. The game itself is indeed a platformer where you have to outrun giants (as in the movie) or push them over ledges. With every level you will be awarded with another advancement in the plot, usually a few pages written on a "book".	Graphics/Sound/Design: Michael Tschoegl / Code: Stuart Johnson		Released	6141
Rolling Ronny	rollingronny	Amiga		René Straub, Orlando Petermann		Starbyte			1991			Action, platform							https://www.mobygames.com/game/amiga/rolling-ronny				https://www.youtube.com/watch?v=HViofs3Xa6Y		http://www.atarimania.com/st/screens/rolling_ronny_virgin_7.gif		Who says being an errand boy is dull ? Take Rolling Ronny - he's the coolest dude in town. Help him rollerskate and shoot his way through nine levels of parkland, city streets, office complexes and even the underground sewers to his final destination at the other side of town. Collect cash by running errands for the inhabitants of this weird and wonderful town to earn enough money for a bus ticket to the next part of this barmy game.	Programming: René Straub, Graphics: Orlando Petermann	http://www.atarimania.com/game-atari-st-rolling-ronny_10442.html	Released	6131
The Game of Life	thegameoflife	Amiga, DOS		Michael Assel, Jörg Dengscherz	Appenzell	Linel			1991							http://www.mobygames.com/game/game-of-life									http://www.mobygames.com/images/shots/l/9102-the-game-of-life-dos-screenshot-right-window-shows-your-cell.gif					released	3131
Championship Shooting / Sport	championshipshooting	Amiga (Golem Light Gun)	http://amiga.haller.ch/index.php/amiga-games/sport-worldwide-hunting-1991	Golden Gate Crew		Golem			1991	English		Shooting						http://amiga.haller.ch/index.php/amiga-games/sport-worldwide-hunting-1991	http://hol.abime.net/6080				https://www.youtube.com/watch?v=jE107S07Bpc		http://hol.abime.net/pic_full/screenshot/6001-6100/6080_screen7.png		Die Golem Light Gun ist eine Lichtpistole der Firma Kupke Computertechnik aus Dortmund für den Amiga. Entwickler war Martin Kupke. Es gibt nur zwei Spiele, die die Pistole unterstützen: „Worldwide Hunting“ und „Sport“, ein Nachfolger von „Hunting“. Die Pistole wird an den Joystickport angeschlossen und kostete 119 DM. Sie konnte damals bei der GOLEM Computer Vertriebs GmbH bezogen werden. Das Unternehmen gibt es heute noch.	Coder : Christian Haller / Graphician : Orlando Petermann / Music : Roman Werner  / Misc : Christian A. Weber		Released	7142
Worldwide Hunting	worldwidehunting	Amiga (Golem Light Gun)	http://amiga.haller.ch/index.php/amiga-games/sport-worldwide-hunting-1991	Golden Gate Crew		Golem			1991	English		Shooting						http://amiga.haller.ch/index.php/amiga-games/sport-worldwide-hunting-1991	http://hol.abime.net/5765				https://www.youtube.com/watch?v=06CJ3M2YCYY		http://hol.abime.net/pic_full/screenshot/5701-5800/5765_screen3.png	http://www.zarkonnen.com/static/bumble/media/uploads/wwh.jpg	Die Golem Light Gun ist eine Lichtpistole der Firma Kupke Computertechnik aus Dortmund für den Amiga. Entwickler war Martin Kupke. Es gibt nur zwei Spiele, die die Pistole unterstützen: „Worldwide Hunting“ und „Sport“, ein Nachfolger von „Hunting“. Die Pistole wird an den Joystickport angeschlossen und kostete 119 DM. Sie konnte damals bei der GOLEM Computer Vertriebs GmbH bezogen werden. Das Unternehmen gibt es heute noch.	Coder : Christian Haller / Graphician : Orlando Petermann / Misc : Christian A. Weber		Released	7242
Traders: The Intergalactic Trading Game	traderstheintergalactictradinggame	Amiga, DOS, Atari ST		Linel	Appenzell	Merit Software			1991	English		Strategy				https://www.lemonamiga.com/interviews/andre_wuthrich/			https://www.mobygames.com/game/dos/traders-the-intergalactic-trading-game				https://www.youtube.com/watch?v=kJNtcQAzf0Y		https://www.mobygames.com/images/shots/l/47874-traders-the-intergalactic-trading-game-dos-screenshot-the-shops.gif		Pit your business and marketing skills against as many as three other competitors while raising and lowering your buying and selling prices for a variety of goods on the interplanetary market. You can produce goods, such as perfume, by planting your fields with flowers. You'll have to purchase raw materials, such as water, which may raise the price of your finished products.	Producer: Markus Grimmer / Code&Art: André Wüthrich / Music: Michael Tschoegl		Released	6152
Necronom	necronom	Amiga		Lunatic Software (England)		Linel			1991	English		Shoot-em-Up											https://www.youtube.com/watch?v=Xd8YyraU8Vk		https://www.mobygames.com/images/shots/l/190459-necronom-amiga-screenshot-the-evil-sovereign.png		A side-viewed horizontally-scrolling space shoot 'em up. There are a wide variety of targets to hit or avoid, some stationary, some with programmed attack paths and others with artificial intelligence to close in on you. The graphics have a very metallic look, similar to Cybernoid in a way. There aren't many power-ups on offer, and you aren't too dependent on them to be able to survive. However, an auto-fire joystick is strongly recommended.	Producer: Markus Grimmer (Linel, Switzerland), Dev by Lunatic Software (England)		Released	5141
Züri	zri	Amiga, Mac	https://www.freimann.eu/eliphi/phi/zuri/	«Profi Game Production»	Zürich - Wollishofen	philippe gressly (freimann)			1992	German	2 Discs	Adventure		Amigaland (Zürich)		https://www.gameculture.ch/2011/01/zuri-revisited-oder-schweizer-game-design-im-20-jh/				https://agijs.ra-phi.ch/zueri					https://www.freimann.eu/eliphi/phi/zuri/img/p01.gif		Züri ist ein Adventure-Game im klassischen Sinne im Stil von "Deja vu", Uninvited, Holiday-Maker. Züri verzichtet auf Animationen und lebt von gelungener Grafik und bissigem Humor. In 60 Bildern wird einem die Stadt nähergebracht. Aber oft sind die Rätsel nicht so ganz trivial zu knacken.	Claude Gressly (Grafik), Andreas Suter (Texte, Story), Philipp Gressly (Programm, Story)		Released	6262
Locomotion	locomotion	Amiga, Atari ST, Commodore, DOS		Prestige Softwareentwicklung		Kingsoft			1992	English		Puzzle				https://www.lemonamiga.com/interviews/andre_wuthrich/			https://www.mobygames.com/game/locomotion		https://www.myabandonware.com/game/locomotion-1gc		https://www.youtube.com/watch?v=iZplmWRWEPU		https://www.mobygames.com/images/shots/l/305420-locomotion-atari-st-screenshot-title-screen.png		Locomotion is an arcade-puzzle game in which you are presented with a top-down view of a railway network with a number of stations and junctions. Trains are released from stations at random intervals, each with a destination station. Your job is to get a set number of them to this destination within a time limit. You control a cursor which can click on each of the junctions, toggling their positions. When trains reach a junction which is not set in a direction they can move through, they will stop until you move it. When they reach the wrong station they simply reverse and continue. If two trains make contact, they are lost, and a penalty is accrued.	André Wüthrich		Released	8142
The Last Eichhof	thelasteichhof	DOS, Windows, Windows Phone	http://web.archive.org/web/19990222115910/http://www.ife.ee.ethz.ch:80/~ammann/alphahelix/eichhof/	Alpha Helix	Zurich				1993							http://www.eurogamer.de/articles/2012-06-29-wasd-texte-ueber-games-tasty-trash-buch-rezension?page=2			http://ftp.lanet.lv/ftp/mirror/x2ftp/msdos/programming/gamesrc/beersrc.zip	https://archive.org/details/msdos_The_Last_Eichhof_1993	https://www.microsoft.com/de-ch/store/p/the-last-eichhof/9wzdncrd2ccr?rtc=1				http://web.archive.org/web/19990222115910im_/http://www.ife.ee.ethz.ch:80/~ammann/alphahelix/eichhof/scrshot.gif	http://web.archive.org/web/19990222115910im_/http://www.ife.ee.ethz.ch:80/~ammann/alphahelix/eichhof/eichhof.gif	Originally, we wanted to include just a tiny little shoot 'em up game into a graphics demo (we produced quite a few in the early years). As we've put quite a lot of effort into this, we decided to work a little harder on it and turn it out as a freeware game. Actually, it's more a sort of a party game. Instead of fighting against spaceships (as in other conventional shoot 'em up games), you have to shoot beer bottles, barrels, whisky glasses, aspirin pills and so on. As we grew up in the middle of Switzerland (ZUG, Innerschweiz), we first started drinking EICHHOF beer (you could also say we grew up with this beer !!). The kind of beer you started with is mostly the beer you like best, as you probably know, and so we decided to dedicate our game to the good old Brewery of Eichhof in Luzern. We also think that you shouldn't support the very big breweries (I guess you know which breweries we mean) and that's why we also built up a little background story for this game.			released	9221
Traps'n'Treasures	trapsntreasures	Amiga		Roman Werner, Ruedi Hugentobler, Orlando Petermann		Starbyte			1993	English, German		Action Adventure/Platformer				http://www.hardcoregaming101.net/trapsntreasures/trapsntreasures.htm , http://hol.abime.net/1500 , http://www.lemonamiga.com/?game_id=1075		http://www.kingroman.com					https://www.youtube.com/watch?v=brRfKerQ9vs		http://4.bp.blogspot.com/-j5VyzBQrdts/Uj2i4Vd3FxI/AAAAAAAAIbY/Yh9ET5WkxOQ/s1600/bb1303410487-Traps_and_Treasures-4.png		Captain Jeremy Flynn’s crew have been kidnapped in the Caribbean, and he must venture through 4 large baddy-infested levels to retrieve them. Along the way, you can collect money from handily-placed treasure chests, which can be spent in various shops to gain extra weaponry.			Released	5133
Der Schatz im Silbersee	derschatzimsilbersee	DOS		Linel, Cybervision (DE)		Software 2000			1993	German		Adventure							https://www.mobygames.com/game/dos/der-schatz-im-silbersee				https://www.youtube.com/watch?v=NnESed6j-LI&t=80s		https://www.mobygames.com/images/shots/l/23334-der-schatz-im-silbersee-dos-screenshot-why-s-everybody-going.gif		Der Schatz im Silbersee is a graphic adventure game with an icon-based point-and-click interface. Based on the novel Der Schatz im Silbersee by German author Karl May, this game let’s you join the wild west adventurers Old Firehand, chief Winnetou and Tante Droll on their way up the Arkansas River, through Utah to the Rocky Mountains. They’re searching for the famous treasure in Silver Lake, but they’re not the only ones: the unscrupulous Red Colonel and his band of tramps aren’t exactly eager to share...	Producer: Markus Grimmer (CH), Animation: Michael Tschoegl (CH), in collaboration with Cybervision (DE)		Released	6141
Raennamis	raennamis	Smaky	http://www.smaky.ch/document.php?id=sminfo_166	Epsitec	Belmont	Epsitec			1994	French		Arcade							http://www.smaky.ch/document.php?id=sminfo_166						http://www.smaky.ch/image/sminfo/sminfo_166_p4.jpg			Jean-Marc Ledermann and students from a 1992 programming class at the Neuchatel High School		Released	5151
Kaiser Deluxe	kaiserdeluxe	DOS		Linel, Softgold (DE)	Appenzell	Softgold			1995	English, German		Strategy							https://www.mobygames.com/game/dos/kaiser-deluxe				https://www.youtube.com/watch?v=N0oQbbEA4hs			https://www.mobygames.com/images/covers/l/128239-kaiser-deluxe-dos-front-cover.jpg	Kaiser Deluxe is a remake of the original C64 game Kaiser. In this managerial-strategy-simulation, you start your career as poor man in the 18th century. Trade with goods, acquire land, achieve fame, raise taxes, conduct war. But don't forget to make your people happy. You're heading to be Kaiser (Emperor) - not more, not less!	Producer: Markus Grimmer (CH), Artwork: Michael Tschoegl (CH), Music: Christoph Schnell (CH), in collaboration with Softgold (DE)		Released	5251
Starbirds	starbirds	Amiga	http://www.sam-jordan.ch/starbirds/index.htm	Sam Jordan, Dario Hardmeier	Chur				1996							http://gamelab.zhdk.ch/projects/swissgamedesign80and90ies/					http://www.sam-jordan.ch/starbirds/index.htm		https://www.youtube.com/watch?v=KmlHP8M5_FU		http://www.sam-jordan.ch/starbirds/img/sb2.gif	http://www.sam-jordan.ch/starbirds/img/sbtitle.gif	Starbirds is a shoot'em up game in the style of old AMIGA shooters like R-Type, Apidya, Wings of Death and many others. The game play is simple: the player controls a space ship (called the Starbird) and tries to keep alive, which is best ensured by shooting as many enemies as possible.			released	8221
Planet Blupi	planetblupi	Windows	http://www.blupi.org/	Epsitec	Belmont	Epsitec			1997	English, French, German									https://github.com/blupi-games		http://www.blupi.org/		https://www.youtube.com/watch?v=cWFkWmwtba8		http://devel.schroetersa.ch/blupi.org/2.gif		Planet Blupi is a strategy and adventure game. It subtly blends action with thought-provoking challenges. Behind the quiet and gentle facade, you'll enjoy a fascinating diversion full of surprises. Planet Blupi is ideal for ages 12 to 99.	Daniel Roux		released	9150
Enemy: Tempest of Violence	enemytempestofviolence	Amiga	https://www.auralis.ch/cms-anachronia-en/18.php	Anacronia					1997	English, German		Action				https://www.lemonamiga.com/interviews/andre_wuthrich/					https://www.auralis.ch/cms-anachronia-en/6.php		https://www.youtube.com/watch?v=UB6sopXD4TQ		https://www.auralis.ch/cms-anachronia-en/userfiles/e1/screenshots/e1_1_640.png		After the discovery of three strange objects near Mars in the year 2031, a research mission is launched. Two hundred scientists step aboard the strange, seemingly unmanned spaceships. But these turn out to be a deadly trap: The crew is ambushed in a merciless attack by reptilian creatures. Only one of the security squadrons manages to survive. It is up to these six soldiers now to execute the large scale rescue mission on their own. Not only are these humans outnumbered by a merciless superpower. Along the way, quite a few surprising turns and revelations await them as well. Hardly anything is what it seems to be...	Design, Code, Art: André Wüthrich / Intro music: Michael Tschoegl		Released	8132
Indices	indices	Smaky	http://www.smaky.ch/document.php?id=sminfo_187	Epsitec	Belmont	Epsitec			1998	French		Investigation							http://www.smaky.ch/document.php?id=sminfo_187						http://www.smaky.ch/image/sminfo/sminfo_187_p1.jpg			Pierre Fornerod		Released	5151
Mad Locs	madlocs	Amiga		The Game Factory					1998	German		Puzzle				https://www.lemonamiga.com/interviews/andre_wuthrich/			http://hol.abime.net/4656				https://www.youtube.com/watch?v=RlYTOxpj0mY		http://hol.abime.net/pic_full/screenshot/4601-4700/4656_screen5.png		"In 'Locomotion' I started at zero. I put the focus on the game concept. The graphics had less priority. To present the graphics from the bird's eye view was the easiest option. For 'Mad Locs' I could use the existing concept, so I could spend a lot more time with the graphics." André Wüthrich	Design, Code, Art: André Wüthrich / Music: Michael Tschoegl		Released	6132
SnakeMe	snakeme	Linux, Windows, Mac	http://stephane.magnenat.net/archives/snakeme/	Stéphane Magnenat and friends	Lausanne			2000	2001	English, French, German		Arcade						http://stephane.magnenat.net/archives/snakeme/	https://github.com/stephanemagnenat/snakeme		http://stephane.magnenat.net/archives/snakeme/download.html				http://stephane.magnenat.net/archives/snakeme/images/screenshots/play.jpeg		SnakeMe is a vintage snake game from year 2000	Cécile Grivaz, Stéphane Magnenat, Lynda Metref, Gabriel Walt		released	9142
Asteroid Storm	asteroidstorm	Mac OS 9	https://zarkonnen.itch.io/asteroid-storm	David Stark	Bern				2001													http://zarkonnen.com/static/bumble/media/uploads/AsteroidStorm-121-ppc.sit			http://zarkonnen.com/static/bumble/media/uploads/asteroidstorm11.png		Asteroid Storm is an Asteroids-like game that puts you into the pilot seat of the sole vessel capable of defending Earth from the menace of the asteroid swarm. Beautiful 32-bit 3d graphics and a nasty enemy AI help distinguish this game from similar ones. In addition to the standard turn left, turn right and accelerate forwards movement commands, it also features accelerate backwards, accelerate left, accelerate right and stop buttons. The game contains an infinite amount of computer-generated levels as well as several levels with written introductions that tell you the story of your voyage into the storm. As the game progresses, you will encounter dangerous remnants of the league war and the reason for the storm itself.			released	6120
Buzzing Cars	buzzingcars	PC	http://www.ceebot.com/buzzingcars/index-e.php	Epsitec	Belmont	Epsitec			2002	French / English		Racing									http://www.ceebot.com/buzzingcars/load-e.php				http://www.ceebot.com/buzzingcars/elements/big2.jpg		Transport robots, catch flying saucers, electrocute aliens with super powerful cars... and lots more !	Daniel Roux		Released	7151
I Misteri di Maggia	imisteridimaggia	PC	http://www.stelexsoftware.com/i-misteri-di-maggia-pc-eng	Stelex Software	Bellinzona				2004	Italian, English		Point and click adventure				http://www.stelexsoftware.com/dicono-di-noi-2017	https://twitter.com/StelexSoftware			http://web302.login-74.hoststar.ch/english/iphone/index.html		http://web302.login-74.hoststar.ch/download/IMisteridiMaggia1.3.exe			http://zarkonnen.com/static/bumble/media/uploads/maggia_screen.jpg	http://static.wixstatic.com/media/7875f4_3d599a8876a04a9898742ef7223c5a9d.jpg/v1/fill/w_306,h_230,al_c,q_80,usm_0.66_1.00_0.01/7875f4_3d599a8876a04a9898742ef7223c5a9d.jpg	"I Misteri di Maggia – Il Tesoro dei Templari" is an exciting "point and click" adventure game in first-person (Myst style), set in the small village of Maggia (Ticino, Switzerland), completely amateur developed.   Are you ready to venture through the streets of Maggia to find the fabulous lost loot? In your investigation you have to find clues, to solve any kind of puzzles, collect items and interact with the surrounding environment. 			released	7233
Babe Rally	baberally	Java	http://www.bitforge.ch/portfolio/babe-rally/	bitforge					2004																					released	3110
Berlin Chaos	berlinchaos	Java	http://www.bitforge.ch/portfolio/berlin-chaos/	bitforge					2004																					released	3110
Darts	darts	Java	http://www.bitforge.ch/portfolio/darts/	bitforge					2004																					released	3110
Home Run	homerun	iOS, Android, Flash	http://www.wagenschenke.ch/index_site.htm	Dissenter					2004																					released	3110
Orbital	orbital	iOS	http://www.orbital-game.com/	bitforge					2004																					released	3110
Meteor Busters	meteorbusters	Browser	http://www.dot-invasion.com/dinv/portfolio/meteor_busters.html	Dot.invasion	Neyruz				2004	English		Shoot-em-Up								http://www.dot-invasion.com/dboy/					http://www.dot-invasion.com/dinv/portfolio/meteor_busters/meteor_busters_img_1.png		Meteor Busters is an attempt to create a game similar to an old Nintendo's Game Boy cartridge. It is limited to just five colours, and features six areas full of action, hidden cheat codes and more.	Alexandre Renevey		Released	6141
Forgotten Myths	forgottenmyths	Browser	http://www.dot-invasion.com/dinv/portfolio/forgotten_myths.html	Dot.invasion	Neyruz				2004	English		Platform													http://www.dot-invasion.com/dinv/portfolio/forgotten_myths/forgotten_myths_img_1.png		Poseidon, one of the twelve Olympian Gods, was exiled to earth after his attempt to take over his brother's throne, Zeus. He also lost his trident, the symbol of his ineluctable power. Apollo, exiled to earth at the same time, enchanted and manipulated Ares, the God of War, and pushed him to create a temporary but sacred weapon able to defeat the Gods themselves. Now begins the forgotten myth about Poseidon and his water-sword.	Alexandre Renevey		Released	5141
Alpine Challenge	alpinechallenge	Java	http://www.bitforge.ch/portfolio/alpine-challenge/	bitforge					2005																					released	3110
Bowling	bowling	Java	http://www.bitforge.ch/portfolio/bowling/	bitforge					2005																					released	3110
Hangover	hangover	Java	http://www.bitforge.ch/portfolio/hangover/	bitforge					2005																					released	3110
Runny, catch the egg	runnycatchtheegg	Java	http://www.bitforge.ch/portfolio/runny-catch-the-egg/	bitforge					2005																					released	3110
